Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,49.857852,-71.180739,135.0,bottom
C2,100nF,C_0402_1005Metric,50.292,-67.691,135.0,bottom
C3,100nF,C_0402_1005Metric,53.848,-81.407,-135.0,bottom
C4,1uF,C_0402_1005Metric,38.862,-55.626,180.0,bottom
C5,22pF,C_0402_1005Metric,55.372,-84.074,45.0,bottom
C6,22pF,C_0402_1005Metric,59.69,-87.757,-135.0,bottom
C7,10uF,C_0402_1005Metric,44.323,-57.912,0.0,bottom
C8,1uF,C_0402_1005Metric,43.434,-58.928,180.0,bottom
C9,1uF,C_0402_1005Metric,49.149,-71.882,135.0,bottom
C10,100nF,C_0402_1005Metric,48.133,-74.676,180.0,bottom
C11,100nF,C_0402_1005Metric,53.848,-82.804,-135.0,bottom
C12,100nF,C_0402_1005Metric,62.23,-51.68832,90.0,bottom
C13,100nF,C_0402_1005Metric,51.308,-80.772,-135.0,bottom
C14,100nF,C_0402_1005Metric,64.206084,-71.374,0.0,bottom
C15,100nF,C_0402_1005Metric,49.563581,-68.406053,135.0,bottom
C16,100nF,C_0402_1005Metric,48.133,-73.533,180.0,bottom
C17,100nF,C_0402_1005Metric,56.261,-67.691,135.0,bottom
D2,D_Small,D_SOD-123F,22.225,-42.8625,-90.0,bottom
D3,D_Small,D_SOD-123F,38.1,-58.7375,-90.0,bottom
D4,D_Small,D_SOD-123F,40.386,-84.1375,90.0,bottom
D5,D_Small,D_SOD-123F,33.3375,-103.1875,90.0,bottom
D6,D_Small,D_SOD-123F,61.9125,-42.8625,-90.0,bottom
D7,D_Small,D_SOD-123F,61.9125,-65.0875,90.0,bottom
D8,D_Small,D_SOD-123F,71.4375,-84.1375,90.0,bottom
D9,D_Small,D_SOD-123F,76.2,-46.0375,90.0,bottom
D10,D_Small,D_SOD-123F,80.9625,-65.0875,90.0,bottom
D11,D_Small,D_SOD-123F,90.4875,-84.1375,90.0,bottom
D12,D_Small,D_SOD-123F,76.2,-103.1875,90.0,bottom
D13,D_Small,D_SOD-123F,95.25,-46.0375,90.0,bottom
D14,D_Small,D_SOD-123F,100.0125,-65.0875,90.0,bottom
D15,D_Small,D_SOD-123F,109.5375,-84.1375,90.0,bottom
D16,D_Small,D_SOD-123F,114.3,-46.0375,90.0,bottom
D17,D_Small,D_SOD-123F,119.0625,-65.0875,90.0,bottom
D18,D_Small,D_SOD-123F,128.5875,-84.1375,90.0,bottom
D19,D_Small,D_SOD-123F,114.3,-103.1875,90.0,bottom
D20,D_Small,D_SOD-123F,133.35,-46.0375,90.0,bottom
D21,D_Small,D_SOD-123F,138.1125,-65.0875,90.0,bottom
D22,D_Small,D_SOD-123F,147.6375,-84.1375,90.0,bottom
D23,D_Small,D_SOD-123F,152.4,-46.0375,90.0,bottom
D24,D_Small,D_SOD-123F,157.1625,-65.0875,90.0,bottom
D25,D_Small,D_SOD-123F,166.6875,-84.1375,90.0,bottom
D26,D_Small,D_SOD-123F,152.4,-103.1875,90.0,bottom
D27,D_Small,D_SOD-123F,171.45,-46.0375,90.0,bottom
D28,D_Small,D_SOD-123F,176.2125,-65.0875,90.0,bottom
D29,D_Small,D_SOD-123F,185.7375,-84.1375,90.0,bottom
D30,D_Small,D_SOD-123F,190.5,-46.0375,90.0,bottom
D31,D_Small,D_SOD-123F,195.2625,-65.0875,90.0,bottom
D32,D_Small,D_SOD-123F,204.7875,-84.1375,90.0,bottom
D33,D_Small,D_SOD-123F,190.5,-103.1875,90.0,bottom
D34,D_Small,D_SOD-123F,209.55,-46.0375,90.0,bottom
D35,D_Small,D_SOD-123F,214.3125,-65.0875,90.0,bottom
D36,D_Small,D_SOD-123F,223.8375,-84.1375,90.0,bottom
D37,D_Small,D_SOD-123F,228.6,-46.0375,90.0,bottom
D38,D_Small,D_SOD-123F,233.3625,-65.0875,90.0,bottom
D39,D_Small,D_SOD-123F,230.1875,-90.4875,90.0,bottom
D40,D_Small,D_SOD-123F,228.6,-103.1875,90.0,bottom
D41,D_Small,D_SOD-123F,239.7125,-52.3875,90.0,bottom
D42,D_Small,D_SOD-123F,264.287,-65.0875,90.0,bottom
D43,D_Small,D_SOD-123F,255.5875,-90.4875,90.0,bottom
D44,D_Small,D_SOD-123F,257.175,-41.275,90.0,bottom
D45,D_Small,D_SOD-123F,271.4625,-103.1875,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,39.37,-52.705,-90.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,42.862499,-38.719539,0.0,bottom
R1,27R,R_0603_1608Metric,47.117,-65.659,-45.0,bottom
R2,27R,R_0603_1608Metric,45.974,-66.802,-45.0,bottom
R3,1k,R_0402_1005Metric,48.514,-100.584,180.0,bottom
R4,5k1,R_0402_1005Metric,40.894,-46.482,-90.0,bottom
R5,5k1,R_0402_1005Metric,45.72,-46.482,-90.0,bottom
R6,1k,R_0402_1005Metric,71.807425,-50.49452,180.0,bottom
R7,1k,R_0402_1005Metric,58.3283,-83.533381,135.0,bottom
SW46,Boot,SW_SPST_TL3342,80.9625,-53.975,0.0,bottom
SW47,Reset,SW_SPST_TL3342,41.402,-100.076,90.0,bottom
U1,RP2040,RP2040-QFN-56,55.759147,-74.074047,-135.0,bottom
U2,XC6206PxxxMR,SOT-23,42.926,-55.626,180.0,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,67.667225,-54.10132,180.0,bottom
U4,USBLC6-2SC6,SOT-23-6,43.307,-47.625,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,57.531,-85.979,-45.0,bottom
